"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price AUD"
"1","1","1452-E2213JS0C1-ND","E2213JS0C1","2.13"" EPD, SPECTRA, W.ITC","","1","0","8.99000","8.99"
"2","1","26-FH34SRJ-24S-0.5SH(50)CT-ND","FH34SRJ-24S-0.5SH(50)","CONN FFC FPC 24POS 0.5MM R/A","","1","0","1.70000","1.70"
"3","1","497-15520-1-ND","STR2P3LLH6","MOSFET P-CH 30V 2A SOT-23","","1","0","0.81000","0.81"
"4","1","490-10580-1-ND","1276AS-H-100M=P2","FIXED IND 10UH 800MA 588MOHM SMD","","1","0","0.58000","0.58"
"5","3","3757-SS2040FL_R1_00001CT-ND","SS2040FL_R1_00001","DIODE SCHOTTKY 40V 2A SOD123FL","","3","0","0.61000","1.83"
"6","10","1276-1184-1-ND","CL10B105KA8NNNC","CAP CER 1UF 25V X7R 0603","","10","0","0.06300","0.63"
"7","1","1276-1005-1-ND","CL10B104KO8NNNC","CAP CER 0.1UF 16V X7R 0603","","1","0","0.15000","0.15"
"8","1","1276-1903-1-ND","CL10A475MA8NQNC","CAP CER 4.7UF 25V X5R 0603","","1","0","0.41000","0.41"
"9","1","311-.47QCT-ND","RL0603FR-070R47L","RES 0.47 OHM 1% 1/10W 0603","","1","0","0.34000","0.34"
"10","1","MCP73831-2ATI/MC-ND","MCP73831-2ATI/MC","IC BATT CONTRL LI-ION 1CELL 8DFN","","1","0","1.21000","1.21"
"11","1","DMG3415UDICT-ND","DMG3415U-7","MOSFET P-CH 20V 4A SOT23-3","","1","0","0.66000","0.66"
"12","1","MCP73831T-2ACI/OTCT-ND","MCP73831T-2ACI/OT","IC BATT CNTL LI-ION 1CEL SOT23-5","","1","0","1.16000","1.16"
